Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-03-30","2,305","19,073","8.25","57","627","223","56","59","1,267"
"2018-03-31","1,982","9,981","4.31","21","641","250","3","5","876"
"2018-04-01","1,312","0","0","0","1,440","0","0","0","0"
"2018-04-02","1,864","7,781","3.56","16","1,206","234","0","0","712"
"2018-04-03","2,362","16,557","8.27","16","577","360","4","35","1,371"
"2018-04-04","1,858","8,329","3.85","10","712","212","6","14","719"
"2018-04-05","2,085","12,974","6.79","12","632","217","6","39","970"
"2018-04-06","2,191","13,871","6.64","15","609","310","8","34","1,153"
"2018-04-07","2,693","15,577","6.7","36","754","256","40","74","1,665"
"2018-04-08","2,030","11,207","4.82","14","568","281","18","11","967"
"2018-04-09","2,167","15,522","7.88","15","610","236","10","52","1,094"
"2018-04-10","2,069","12,176","5.24","33","598","273","20","10","990"
"2018-04-11","1,641","3,866","1.66","19","680","151","5","1","437"
"2018-04-12","2,411","16,083","7.1","32","516","401","25","21","1,450"
"2018-04-13","2,414","18,383","9.17","27","525","328","24","53","1,426"
"2018-04-14","2,757","28,876","13.93","109","568","264","35","123","1,791"
"2018-04-15","2,418","16,919","8.38","130","549","326","2","60","1,421"
"2018-04-16","2,267","14,618","6.65","11","523","399","7","12","1,297"
"2018-04-17","2,189","12,660","5.52","53","592","378","10","2","1,186"
"2018-04-18","1,984","10,703","5.6","9","721","202","6","29","857"
"2018-04-19","1,995","9,545","4.32","8","1,131","309","0","0","928"
"2018-04-20","2,105","13,323","6.54","17","644","284","5","32","1,049"
"2018-04-21","2,428","17,084","8.52","11","495","349","7","37","1,442"
"2018-04-22","2,050","11,165","5.1","21","757","246","13","10","950"
"2018-04-23","2,321","18,031","8.35","3","697","236","39","41","1,270"
"2018-04-24","1,772","6,009","2.61","2","1,253","175","10","2","593"
"2018-04-25","1,973","9,594","4.18","2","700","270","0","0","863"
"2018-04-26","2,067","11,850","6.22","11","720","241","3","29","974"
"2018-04-27","2,044","12,379","5.32","15","649","201","52","17","948"
"2018-04-28","2,353","16,876","8.84","24","615","275","2","57","1,308"
"2018-04-29","2,718","22,768","9.66","256","478","299","45","98","1,766"

